Teams,21/22 xG,21/22 Shots,22/23 xG,22/23 Shots,23/24 xG,23/24 Shots,21/22 Goals,22/23 Goals,23/24 Goals
Manchester City,93.4,713,84.32,600,89.55,693,99,94,96
Arsenal,63.39,589,76.51,593,84.39,657,61,88,91
Manchester United,57.21,508,71.9,593,60.33,550,57,58,85
Newcastle,41.53,449,76.98,571,84.48,551,44,68,85
Liverpool,93.02,729,80.77,605,94.79,790,94,75,86
Brighton,49.57,489,77.72,613,61.91,561,42,72,55
Aston Villa,43.13,464,50,431,67.42,515,52,51,76
Tottenham,67.95,491,57.83,518,73.35,584,69,70,74
Brentford,52.89,442,59.23,408,64.29,473,48,58,56
Crystal Palace,48.84,412,40.72,426,53.94,456,50,40,57
Chelsea,69.3,592,51.89,484,80.88,549,76,38,77
Wolves,39.04,402,35.13,412,50.65,429,38,31,50
West Ham,54.98,449,51.21,474,54.53,450,60,42,60
