"Teams","X","X21.22.xG","X21.22.Shots","X22.23.xG","X22.23.Shots","X23.24.xG","X23.24.Shots","X21.22.Goals","X22.23.Goals","X23.24.Goals"
NA,NA,93.4,713,84.32,600,89.55,693,99,94,96
NA,NA,63.39,589,76.51,593,84.39,657,61,88,91
NA,NA,57.21,508,71.9,593,60.33,550,57,58,85
NA,NA,41.53,449,76.98,571,84.48,551,44,68,85
NA,NA,93.02,729,80.77,605,94.79,790,94,75,86
NA,NA,49.57,489,77.72,613,61.91,561,42,72,55
NA,NA,43.13,464,50,431,67.42,515,52,51,76
NA,NA,67.95,491,57.83,518,73.35,584,69,70,74
NA,NA,52.89,442,59.23,408,64.29,473,48,58,56
NA,NA,NA,NA,47.98,429,52.81,501,NA,55,55
NA,NA,48.84,412,40.72,426,53.94,456,50,40,57
NA,NA,69.3,592,51.89,484,80.88,549,76,38,77
NA,NA,39.04,402,35.13,412,50.65,429,38,31,50
NA,NA,54.98,449,51.21,474,54.53,450,60,42,60
NA,NA,NA,NA,40.08,358,63.76,542,NA,37,54
NA,NA,NA,NA,39.57,368,52.16,451,NA,38,49
NA,NA,44.47,437,48.65,429,60.75,507,43,34,40
NA,NA,49.49,435,48.99,418,NA,NA,62,51,NA
NA,NA,51.19,485,47.8,462,NA,NA,42,48,NA
NA,NA,47.35,482,39.27,417,NA,NA,43,36,NA
NA,NA,41.11,407,NA,NA,43.44,433,34,NA,41
NA,NA,39.34,399,NA,NA,NA,NA,34,NA,NA
NA,NA,31.51,373,NA,NA,NA,NA,23,NA,NA
NA,NA,NA,NA,NA,NA,49.87,432,NA,NA,52
NA,NA,NA,NA,NA,NA,41.31,365,NA,NA,35
